ID,台語羅馬字2,華語對譯,台語漢字,台語羅馬字,英文,freq,pos_h,,
2545,,;不在乎;不無所動;不當一回事;不礙事;毫髮無損;無動於衷;無關痛癢;,無震bun7,bo5-chun3-bun7,,7842,VH,,
2620,,;沒意思的話;,無仁e5話,bo5-jin5 e5 oe7,,5186,,,
2702,bo5-loa7-choe7,;無幾;,無偌che7,bo5-loa7-che7,,3082,VH,,
2728,,;笨拙;,無pha7,bo5-pha7,,2039,VH,,
2747,,;沒有半毛錢;,無半sian2,bo5-poaN3-sian2,,4454,,,
2750,,;沒指望;無望;,無poh,bo5-poh,,2963,VK;VH,,
2766,,;沒什麼;不太;,無啥mih8,bo5-siaN2-mih8,,5299,,,
2794,,;不料;不圖;沒想到;想不到;,無想kau3,bo5-siuN7-kau3,,6539,Db;VK;Dk;VJ,,
2796,,;不計其次;,無算pai2,bo5-sng3-pai2,,3480,,,
2817,,;無動於衷;,無搭hiahN,bo5-tah-hiahN,,2797,VH,,
2823,,;不錯;沒錯;,無taN7,bo5-taN7,,4008,VH,,
2824,,;告貸無門;,無tang3 sa,bo5-tang3 sa,,2581,,,
2825,,;沒得吃;,無tang3食,bo5-tang3-chiah8,,4115,,,
2826,,;告貸無門;,無tang3借,bo5-tang3-chioh,,2615,,,
2828,,;沒好氣;沒奈何;沒脾氣;無可奈何;無奈;無奈何;,無ta-oa5,bo5-ta-oa5,,3996,VI;VH,,
2829,,;不夠數兒;微不足道;,無tap屑,bo5-tap-sap,,3367,VH,,
2833,,;無由;無從;無緣;,無te3,bo5-te3,,3501,Dh;VH,,
2834,,;告貸無門;,無te3 sa,bo5-te3 sa,,2707,,,
2835,,;沒得吃;,無te3食,bo5-te3-chiah8,,4242,,,
2836,,;告貸無門;,無te3借,bo5-te3-chioh,,2740,,,
2837,bo5-te3-khu3,;無處去;,無te3去,bo5-te3-khi3,,4195,,,
2838,,;無從比起;無與倫比;,無te3比,bo5-te3-pi2,,3874,VH,,
2839,,;不甘示弱;,無teh軟,bo5-teh-nng2,,3622,VH,,
2867,,;不在;,無佇leh,bo5-ti7-leh,,6019,,,
2883,,;不巧;無奈;,無tu2好,bo5-tu2-ho2,,5314,VH,,
2884,,;不見得;未必;,無tu2-tu2,bo5-tu2-tu2,,4140,Db,,
2916,,;抓;,boah8,boah8,,448,VC,,
2952,,;少;,boat8,boat8,,371,Dd;Da;VJ;VH,,
2977,be2-cheng2-chaiN2,;小拇指;小指頭;尾指;,尾cheng2指,boe2-cheng2-chaiN2,,1709,Na,,
2979,be2-choa7-chhia,;末班車;,尾choa7車,boe2-choa7-chhia,,1487,Na,,
3039,beh,;要;將要;要是;,beh,boeh,,4429,Db;Dd;VC;Cb;VE,,
3043,beh-am3-a2,;傍晚;黃昏;,boeh暗仔,boeh-am3-a2,,2421,Nd,,
3044,beh-an2-choaN2,;怎麼辦;,boeh按怎,boeh-an2-choaN2,,1962,VA,,
3045,beh-bo5,;否則;要不然;,boeh無,boeh-bo5,,5417,Cb,,
3046,beh--bou3,;要不要;,boeh--bou3,boeh--bou3,,4160,,,
3047,beh-chai,;早知道;要是知道;,boeh知,boeh-chai,,4983,,,
3048,beh-chhin-chhiuN7,;近似;,boeh親像,boeh-chhin-chhiuN7,,1914,VJ,,
3049,beh-m7,;要不要;,boeh-m7,boeh-m7,,4533,,,
3050,beh-ni5,;做什麼用;幹麼;,boeh-ni5,boeh-ni5,,2989,VA;Dj,,
3051,beh-oa2,;將近;,boeh倚,boeh-oa2,,1380,Ne,,
3052,beh-si2,;要命;,boeh死,boeh-si2,,2955,VH,,
3053,beh-si7,;要是;,boeh是,boeh-si7,,5346,Cb,,
3054,beh-sio-kang7,;相似;,boeh相共,boeh-sio-kang7,,1697,VH,,
